gid,formula,n_sites,K_VRH,G_VRH,gamma,kappa_agl,density_g_cm3,volume_m3
ag-295b14c07a58,Dy2Si2,4,90.8953,65.4643,1.94018,12.3647,7.29857,8.672237665117806e-29
ag-db48679b8379,Co1Nb1,2,183.8,82.4977,1.94031,19.7376,8.22979,3.063693558929702e-29
ag-30b4ea4c8457,Ag1C2K1,4,27.2627,13.3219,1.94034,4.29392,2.86712,9.903041653851047e-29
ag-336873381da1,Sc1Zn1,2,72.7444,45.4127,1.94038,12.2107,4.72037,3.882433960852034e-29
ag-3c1fc15dfd5c,Be2Mo6,8,223.556,103.033,1.94056,12.6462,8.49742,1.160120211629227e-28
ag-82ec400bb107,Co2P2Ta8,12,215.682,110.547,1.94063,8.85837,14.135,1.9118190442043458e-28
ag-25718c51ac0a,Ho2Mg2Sn2,6,57.4855,36.8778,1.94064,4.42545,6.61337,1.546428626363377e-28
ag-d4b97fce6374,H3Ni1Yb1,5,94.1111,54.5583,1.94064,5.01748,8.97588,4.3430118826946306e-29
ag-da263324a445,H1Mg1Ni1,3,96.5623,52.3273,1.94069,9.54422,4.59809,3.033777272999925e-29
ag-9fcbe75bdcca,Ni2Si2Th2,6,124.482,33.6086,1.94074,3.16182,8.74503,1.210763181314757e-28
ag-ec204a569395,La3Mg3Pd3,9,60.2958,21.7619,1.94119,1.58069,6.11021,2.1982808887782218e-28
ag-95de947c53fa,C1Dy3Sn1,5,82.7333,61.3079,1.94131,8.94069,8.74904,1.1733625907880162e-28
ag-194fe8e86246,Cd2Ho4S8,14,63.5,23.1596,1.94148,1.58386,5.31693,3.5636733112956803e-28
ag-6480d7dbdcd7,Bi1K3,4,12.2389,5.77245,1.94178,0.552867,3.29988,1.6418563163407004e-28
ag-02cf774e0371,Cr2N6Sr6,14,51.5257,31.4793,1.942,4.60048,4.2698,2.7758062299862054e-28
ag-8f9bf20dda6f,O8Si4,12,66.388,46.2105,1.94209,19.1748,2.19081,1.8216518536854292e-28
ag-c7040aa8f251,P1Yb1,2,82.8278,18.2715,1.94232,1.58542,7.26186,4.6650971228450355e-29
ag-2a68990d7806,Ga1La3,4,39.7556,13.9614,1.94262,1.53473,6.43217,1.2557995883797454e-28
ag-dc8cef405f5d,Li4O10Si4,18,77.5072,48.8179,1.94264,10.0766,2.35638,2.11480225552186e-28
ag-4c085ea810fe,Nb6Pt2,8,200.567,78.4653,1.94274,7.90906,11.1256,1.4143392245770997e-28
ag-c33a14007399,Ru1Sc1,2,136.961,50.6077,1.94286,12.6336,7.07442,3.427584616292131e-29
ag-b9a1f0ab8466,In1N1Sc3,5,100.561,76.3972,1.94291,15.1759,4.67126,9.373736241290791e-29
ag-738a7b63ffbb,Ba2N4Zr2,8,104.11,41.7686,1.943,5.23702,5.68825,1.4979482593022073e-28
ag-58fb95126790,P6Sr6,12,44.8799,26.8692,1.94309,2.65588,3.43964,3.435177661430776e-28
ag-5cfeddca80d8,Ga1S8Ti4,13,48.85,31.4698,1.9431,6.51282,3.19109,2.6939990433004167e-28
ag-b2b3dbb0e485,Te1U1,2,59.9611,41.8126,1.94316,8.90632,10.3359,5.874099874547697e-29
ag-6599d22a3b42,Mg8O8,16,111.955,60.7711,1.94337,5.91195,2.81668,1.9008770824054714e-28
ag-bef5c8d2d70d,Pb1Pu3,4,56.6111,24.6657,1.94341,2.12734,14.4204,1.0815083432850129e-28
ag-6f836cb71a90,Al16Ru7Zr6,29,146.033,56.688,1.94366,2.77407,5.98352,4.680461102919951e-28
ag-e30fcb2e9732,Cd1Tb1,2,55.7222,23.3965,1.94401,4.02585,8.50254,5.299176591508549e-29
ag-c171a2c88ba2,Cd2S8Y4,14,62.6444,22.9125,1.94406,1.80276,3.85337,3.606748752630803e-28
ag-c8b05327e0ba,Cd2Dy4S8,14,62.9389,22.924,1.94433,1.57065,5.22321,3.596710813245834e-28
ag-7f9d210e4642,Li4O10Si4,18,76.8768,49.4508,1.94436,10.3396,2.35564,2.1154665988294475e-28
ag-1a66bdfe863d,Ho2Si2,4,92.5681,66.2233,1.94446,12.191,7.50203,8.544628842642153e-29
ag-3e06d4bedd95,Al2C6Nb8,16,221.839,147.603,1.94449,16.1102,6.86419,2.10290013163812e-28
ag-4fadebde4690,Bi1Ca3N1,5,54.1722,46.6457,1.94452,7.62895,4.79083,1.1896311182643202e-28
ag-bc48c99fdd4a,Co2V6,8,206.111,99.4357,1.94458,12.1667,6.91749,1.0166459950087895e-28
ag-a6f93590c6fb,Bi6Sr8,14,29.5333,14.0892,1.94463,0.721455,6.13354,5.292363258813188e-28
ag-df2bbb94cdf1,P2Ta2,4,160.91,73.3513,1.94474,12.87,10.7702,6.534774945665248e-29
ag-4842dd1381fd,Li1Mg4Si2,7,48.4327,16.628,1.94479,2.0204,1.96486,1.3549950104644155e-28
ag-e7d121efe2e9,Rb2Te4Y2,8,26.7965,15.9533,1.9451,1.97686,4.69325,3.0397861942447345e-28
ag-5e50f0179661,Dy2Mg2Sn2,6,57.1123,36.6337,1.94517,4.43066,6.50572,1.5596109052719728e-28
ag-c9b69af480b7,Ge4Mg2Tb4,10,74.2239,55.8016,1.94524,5.11223,7.14869,2.2644876818144793e-28
ag-578a0494a9c0,Mg2O6V2,10,109.806,33.5025,1.94527,4.55773,2.82237,1.4502183562140826e-28
ag-a3014ad7fdc7,Hf4P2Sb2,8,123.36,69.3383,1.94531,7.22786,10.2195,1.656440363197132e-28
ag-dbaf10591325,Ir2Nb6,8,221.783,103.494,1.94549,11.6356,11.2565,1.3894334088638689e-28
ag-89e739a189fe,C2Co1Ho1,4,168.33,92.8254,1.94559,19.0767,8.78432,4.685878763277298e-29
ag-416cce9b2593,C8W4Y4,16,206.403,116.218,1.94578,9.81682,9.31517,2.1160906878240497e-28
ag-abca40e68e1c,Al16Hf6Os7,29,165.094,67.8841,1.94578,2.78922,10.0991,4.660207857349905e-28
ag-6662f1dc4619,P1U1,2,69.5833,28.4847,1.94582,5.61501,8.74305,5.109080308082258e-29
ag-2b190a36f46d,N4S2Zr4,10,159.742,69.2297,1.94587,8.86859,5.41358,1.4878308323950445e-28
ag-752050471ac1,O2Zn2,4,137.468,51.3807,1.94612,7.37973,5.94779,4.545615381491258e-29
ag-b1f1cdfe313b,Dy8O4S8,20,79.5296,36.5677,1.94632,2.56402,6.68816,4.0234276436461936e-28
ag-ab1abd143b68,K1O3U1,5,133.456,66.0742,1.94634,10.4189,6.44557,8.376038811917988e-29
ag-73ee4c8291d3,Ge2Hf2V2,6,154.85,82.1518,1.94669,10.4832,9.93677,1.0095866698262353e-28
ag-8e36b1f17908,Si6Tc10,16,247.133,105.605,1.94669,7.96718,8.76118,2.1768194524002085e-28
ag-bbe19cfc7071,O1Zn1,2,135.033,50.5133,1.9467,11.632,5.93636,2.2771838053857825e-29
ag-972675e8a84e,W8,8,296.578,123.135,1.94671,11.6707,18.2991,1.3345946063084808e-28
ag-233b528bc441,C1Sc3Tl1,5,93.2333,78.0154,1.94672,14.2133,5.90314,9.880908046052365e-29
ag-937be0c41a38,Nb8Ni2P2,12,193.88,95.5029,1.94692,9.23004,8.02676,1.9086020252198662e-28
ag-7239eb435c5e,Bi1Ho1,2,54.5889,32.0032,1.94696,6.53478,9.91929,6.2594536300535e-29
ag-ce43c1ef662d,Li2O8Ti4,14,124.778,73.3513,1.94712,11.2029,3.50435,1.5795589118198533e-28
ag-972f708db170,Al16Os7Sc6,29,143.139,77.994,1.94719,3.99043,7.05102,4.787901747740652e-28
ag-4077c8c92097,As8Na16Ti2,26,26.6278,13.277,1.94729,0.705101,2.67757,6.592016482124769e-28
ag-3af23ae5e3dc,O8Si2Zn4,14,135.983,52.8536,1.94737,5.11332,4.73351,1.563896493460934e-28
ag-0ea2f481c2cf,Ca4Ge4Mg4,12,47.8437,38.961,1.94753,3.84284,3.22938,2.818275266741378e-28
ag-45d4dd170fde,Sc4Tc8,12,186.947,30.032,1.94761,1.76213,7.71756,2.0737989997057714e-28
ag-43991e1d2bfb,S4Sc2Tl2,8,49.754,26.9692,1.94766,3.16735,5.39746,1.928788254854385e-28
ag-8927893ffc05,Bi1Er1,2,56.4556,32.3819,1.94772,6.34074,10.1201,6.173458978608354e-29
ag-1e182d013d03,Bi1Tb1,2,52.4889,30.5522,1.94775,6.57409,9.46998,6.451142142874357e-29
ag-93deab180293,Tb2Te4,6,56.3851,27.0171,1.94775,2.90293,7.77247,1.7695052464516385e-28
ag-c282c70d0c61,Al1Mn1Ni2,4,110.45,59.9223,1.94786,10.4247,6.53527,5.064152455683784e-29
ag-e6d01b791d36,Mg6P4,10,57.4444,39.8045,1.94788,5.51334,2.05052,2.1842702311831156e-28
ag-b589812d93c8,H4N4Sr4,12,79.6349,42.1177,1.94791,3.44335,4.59477,1.4836766959515021e-28
ag-8756b3a8c076,N2Ti4,6,174.394,96.4544,1.94794,20.4284,4.57106,7.973149315302384e-29
ag-ce038afcf474,Al16Os7Zr6,29,158.944,67.4341,1.94799,3.10511,8.11412,4.728718461275838e-28
ag-97c214b186e9,Sb2Sr4,6,27.4686,19.9598,1.94803,2.54954,4.31682,2.2849231739113513e-28
ag-e613bbb42012,Ni1Sc6Te2,9,71.8098,35.0555,1.94817,3.54445,4.71739,2.0543956347719623e-28
ag-64a588f9e213,Al16Ru7Sc6,29,128.328,67.0049,1.94842,3.86459,4.91744,4.7577264916075e-28
ag-b8b38fb03dc0,Se8Y4Zn2,14,54.9611,23.4913,1.94849,1.73594,4.87362,3.8096615368073125e-28
ag-a3d20f836771,Ga1Mn1Ti2,4,139.45,22.5529,1.94854,2.48344,6.14757,5.953158439961887e-29
ag-4dcf1adffdb1,Bi1Dy1,2,55.6333,31.9971,1.94859,6.39882,9.79028,6.30071577805941e-29
ag-fafcd08de9be,Eu1Se1,2,45.0861,18.3736,1.94874,3.31988,7.12552,5.381478452317001e-29
ag-e48de1a24c1a,Mg24Sb16,40,38.059,18.686,1.94888,0.657437,3.4822,1.2071740383425902e-27
ag-ef2a772d7950,C2Co1Tb1,4,167.685,91.0653,1.94888,18.4697,8.3538,4.8080047176082667e-29
ag-45ac1f4e78ab,Mg4O8Si2,14,113.087,65.9446,1.9489,10.325,3.09028,1.5120079018798324e-28
ag-c648ed317258,N2Nb2,4,212.274,44.4594,1.94896,7.53961,6.64348,5.34458886217859e-29
ag-67a702b1c6a1,Ca3Ge1N1,5,55.5111,35.0265,1.94906,6.13272,3.06744,1.119935465650688e-28
ag-6dac966aaf0e,Ca8Pb4,12,26.9385,14.9457,1.95002,1.09935,4.79967,3.9766555952547534e-28
ag-84256361623e,B8Ru4Y4,16,166.327,106.284,1.95007,9.68317,6.97564,2.0148201245108222e-28
ag-a47595f4f420,B8Nb4Ni4,16,268.568,174.75,1.95018,15.5525,7.44136,1.546177219626469e-28
ag-a459945c53a9,In3Mg3Y3,9,52.2719,39.3031,1.95025,4.30806,4.92462,2.306680396072416e-28
ag-dc8d0fde8d14,B4Ru2,6,283.533,174.353,1.95029,31.2608,7.52303,5.416297932064265e-29
ag-e3da235a5626,O1Ta4,5,205.384,65.3302,1.9503,7.12301,15.2225,8.06997355083564e-29
ag-a1f7a3112475,C6Nb8Si2,16,243.455,129.031,1.95031,12.1439,7.07991,2.0440047225520434e-28
ag-8b5f88450482,C1V1,2,304.739,208.903,1.95098,87.7031,5.79255,1.8046384999424523e-29
ag-1ae60cee7910,N4Se2Zr4,10,149.291,67.8705,1.951,8.2412,6.13986,1.5654934849005198e-28
ag-552d0f6689b9,Al3Zr1,4,101.6,53.6974,1.95105,11.1041,4.12127,6.937005160505039e-29
ag-037533a6eb09,Pb4Sr8,12,22.702,12.8263,1.95121,0.813002,5.33075,4.765232364155167e-28
ag-cb1f9acfa0ae,Sr1Te1,2,31.9333,20.1021,1.95138,4.96221,4.69736,7.608129202651106e-29
ag-e958030590a0,Hf1Os1,2,227.65,124.999,1.9514,29.9254,17.7747,3.444637403932286e-29
ag-1ae3bd45d617,Si4Ti4,8,140.342,87.4728,1.95143,13.932,4.06927,1.239751537311965e-28
ag-acf7161f700e,C2In2Ti4,8,127.628,97.331,1.95154,16.2248,5.89398,1.2540729969154148e-28
ag-a4f32a82bf98,Hf4O28V8,40,77.8783,35.9959,1.9517,3.23817,3.60511,7.229113352047089e-28
ag-ae5a8b9f35b8,C8Gd4Mo4,16,192.045,100.14,1.95177,7.97902,8.52771,2.1591745470091233e-28
ag-b20c8ae03dde,N1Zr1,2,220.85,120.72,1.95179,41.6588,6.92637,2.5228177004067728e-29
ag-f1b277d31df1,Hg2Ti6,8,106.789,75.8106,1.95196,9.62683,7.72501,1.4797200310993012e-28
ag-469e1cd4daba,Ag8Ca19N7,34,41.0222,20.849,1.95197,0.909428,3.62104,7.898935660672906e-28
ag-43ccbaffa353,S2Ta1,3,26.615,19.5886,1.95203,22.9479,6.30651,6.453036530497958e-29
ag-24e8ff734a80,Ni2O2Zr6,10,151.824,66.5006,1.95239,6.3661,7.1175,1.6254959180282283e-28
ag-171c88155f47,C2In2Zr4,8,118.435,85.3012,1.95307,13.5954,6.89966,1.4886705801130152e-28
ag-c364e5107644,Al8Co2La2,12,88.231,59.6701,1.9531,6.36347,4.65452,2.18168330055771e-28
ag-ead50d6a851c,N4Rh8Zr16,28,161.078,60.0378,1.95324,2.84101,8.04265,4.828955339974921e-28
ag-2fb266c537ed,Gd2O2Se1,5,104.346,57.9469,1.95327,8.95983,7.67193,9.208777434475499e-29
ag-4623ccee9b59,C1Dy3Tl1,5,41.1722,12.1921,1.95352,1.08478,6.60248,1.7703097710941048e-28
ag-d42040244c59,As2K2Mg2,6,27.8327,18.8445,1.95354,3.14272,2.78991,1.646604373141344e-28
ag-e83bf0a59f2f,Gd1N1,2,150.433,108.779,1.9537,31.8232,9.06038,3.138703241663111e-29
ag-e5913f02650b,Hf4Mo4Si4,12,185.613,103.29,1.95375,9.32538,9.99143,2.0110787184698582e-28
ag-777ef5e197aa,Si4Zr4,8,142.004,93.4625,1.95381,13.7277,5.55996,1.4253202236455853e-28
ag-4af81c5605a2,S9,9,6.13587,4.13798,1.95388,4.10801,1.643,2.916656521818387e-28
ag-9c4713aee4ec,Li5N2Na1,8,61.4931,23.8188,1.95392,2.01148,1.98921,7.154687711011206e-29
ag-3e164407c8b6,C1Ho3Tl1,5,41.4944,12.4936,1.954,1.13863,6.754,1.748520002455372e-28
ag-273c909f7818,Ge8Y6,14,77.5883,49.9264,1.95427,3.84335,5.92595,3.1231486688687377e-28
ag-b54d46195d41,P8Th6,14,106.422,58.4777,1.95438,4.60575,7.94085,3.4295002627338547e-28
ag-b0bd25030f17,Mg1O1,2,151.294,118.763,1.95446,45.767,3.47477,1.926085201491697e-29
ag-68acb772839a,Ho4Si4,8,93.1009,68.2332,1.95451,7.85138,7.51414,1.7061716155505944e-28
ag-23344abad821,Mg1O1,2,152.389,117.258,1.95457,44.6395,3.48027,1.9230413374787885e-29
ag-bc59337055eb,C2Ho1Ni1,4,162.645,101.074,1.95476,20.88,8.60336,4.779811566793031e-29
ag-605efbba4d8e,Al2Li2,4,47.0667,30.7801,1.9548,6.62954,1.74079,6.471739909299396e-29
ag-41bae54feb1c,O24Sc16,40,166.643,79.4366,1.95501,4.10931,3.76097,4.87118977344129e-28
ag-148a889cb8f6,Cu2Zr2,4,138.203,32.6936,1.95546,3.10384,7.33972,7.003036392060789e-29
ag-9306f856a425,Al4Mn2S8,14,79.7111,33.7917,1.9555,3.13183,2.93526,2.683341908327007e-28
ag-227780372a14,Ni1Sc1,2,103.967,41.6869,1.95558,10.4509,5.23971,3.284794994421679e-29
ag-7834440c21af,Mn1Te1,2,51.7167,26.8341,1.95569,6.01353,5.76904,5.254107353446826e-29
ag-616cfc3b5aa7,Al8Ni2Tb2,12,95.9113,60.231,1.9559,5.44106,5.24006,2.063258938595216e-28
ag-f22c703bcdb0,Ru1Zr1,2,184.217,88.5537,1.95597,25.2833,9.11604,3.5027457017825767e-29
ag-7159081b5031,Pt8Zr16,24,129.511,25.1671,1.95643,0.897416,10.1039,4.963680439368017e-28
ag-b04345b432b1,S8Ti4,12,105.091,41.5977,1.95655,4.20153,3.32441,2.23769503571461e-28
ag-97a4fa41470d,Hf4Tc8,12,237.674,30.3826,1.95656,1.31063,12.2048,2.038067891488706e-28
ag-2567bb70df79,Si4Th6,10,93.8559,50.0323,1.95658,4.30489,9.15582,2.728753799472277e-28
ag-7345272de70a,La2S4,6,79.275,37.8348,1.95662,5.10396,4.84104,1.3928756211082421e-28
ag-35099e599e89,C4O12Sr4,20,56.4738,29.4488,1.95665,4.93664,3.64297,2.6916889879322058e-28
ag-4dc818520eda,Re8Y4,12,203.78,42.7887,1.95676,2.27555,13.4882,2.271732723782423e-28
ag-4ca4848aaafe,Ge4Mg2Y4,10,72.8812,56.6985,1.95679,6.13715,5.11806,2.2542361439995634e-28
ag-93442a16299d,Au4Tb8,12,58.3923,18.6896,1.95684,0.969947,10.7236,3.188758205583279e-28
ag-c349dabcb8dd,O24Si12,36,59.3649,30.1075,1.95684,4.68816,1.76068,6.800031404183454e-28
ag-6bbab91d874b,Fe1O2Sr1,4,100.326,58.0857,1.95694,11.087,5.04615,5.773995911221209e-29
ag-33d8c841d607,Al4S8Sr2,14,35.5171,21.5553,1.95707,3.83887,2.65731,3.372470442230374e-28
ag-a3efff884a98,Er3In1N1,5,90.4944,67.9568,1.9572,9.52523,9.6877,1.0808951126834783e-28
ag-c4765ff8e735,In1Ni2Tb2,5,74.1177,35.4988,1.95721,4.33489,8.93955,1.0217389539162442e-28
ag-c526fe4983df,Bi1Y1,2,55.4333,30.6014,1.95742,6.52194,7.78664,6.352569985616059e-29
ag-d5fbf49b996f,Ge4Ho4Mg2,10,78.3658,57.8055,1.95754,4.93397,7.49179,2.214020939890306e-28
ag-6e0f6fa0297c,S8Ta12,20,121.976,70.7928,1.95782,5.99459,10.6979,3.7686029655031522e-28
ag-7951fba96759,N4Zn12Zr12,28,118.983,72.444,1.95794,4.0278,7.12568,4.510695509202881e-28
ag-226c112b936f,Ca6Cr2N6,14,85.6201,49.2899,1.95809,6.09239,3.20742,2.218423699589473e-28
ag-1c52b9a972cc,La8S12,20,69.2979,32.7198,1.95813,2.1284,4.81695,5.157217529851508e-28
ag-50ba0e96d527,Ca3Tl1,4,21.7444,9.6795,1.95819,1.06871,4.02666,1.3386769887306408e-28
ag-96f5eb653d4c,B2Mo4,6,286.296,142.811,1.95833,22.5078,8.99737,7.481660172877641e-29
ag-fada3e5e0d50,Re8Y4,12,201.336,42.5799,1.95844,2.30212,13.4783,2.2734013432645122e-28
ag-bef5a332ff17,Co8N4Ta16,28,241.089,109.061,1.95877,4.58214,14.4481,3.933706197526465e-28
ag-bbf2df33e136,H2W2,4,285.552,156.449,1.95888,22.2359,16.9299,3.6260961464690607e-29
ag-a824f22bcf1c,C2Dy1Ni1,4,160.686,101.244,1.9589,21.1463,8.44203,4.8233511976207816e-29
ag-a1c0209c4737,Ir8N4Zr16,28,179.906,67.9548,1.95905,2.96578,10.4871,4.834703249971962e-28
ag-9ce661a7f800,C2Na2Pd1,5,45.168,23.0544,1.95906,5.55749,3.19777,9.161192351079607e-29
ag-5197743ba07e,N2Y2,4,145.872,87.0581,1.95909,18.5086,5.59996,6.103268941864793e-29
ag-99635f09727a,Ho8Sb6,14,68.4611,31.945,1.95915,1.81406,8.87146,3.837146690071318e-28
ag-35f35f50f54f,Er4In2Ni4,10,87.5861,36.7299,1.95919,2.31769,9.78308,1.9238631378521663e-28
ag-84351a3c9762,Ba4Ca4Pb4,12,24.9434,16.236,1.95924,1.05157,5.34311,4.781122812067825e-28
ag-c96936f1ed31,Cd2Ho4Se8,14,53.5278,18.3177,1.95926,1.05971,6.20238,4.059325597800184e-28
ag-5f913b905a1c,Na3P3Sr3,9,38.6656,28.915,1.95945,3.10615,3.0662,2.300290113602731e-28
ag-e9d97f4d8171,Bi2Rb6,8,9.55761,5.20349,1.95947,0.300378,3.66436,4.217860586092857e-28
ag-6e4e032c033d,P2Sb2Ti4,8,110.565,64.2671,1.95963,8.25411,5.4608,1.5110988338399902e-28
ag-518627a62d80,O8V2Y2,12,125.099,49.5756,1.95964,6.43648,4.08029,1.6591590450880875e-28
ag-27b31a054bfd,Si2Zr2,4,143.955,94.0489,1.95966,21.6445,5.58386,7.096097888074297e-29
ag-30c87e62a803,C2Hf4S2,8,176.74,126.276,1.95966,15.9407,11.1388,1.1957637406769305e-28
ag-63822f984216,Ge2V2Zr2,6,149.046,66.0227,1.95967,8.82642,6.90888,1.0325636701478278e-28
ag-6547651e7795,Tc8Zr4,12,214.269,17.6828,1.95971,0.73542,9.22194,2.068747672897973e-28
ag-a5c47a2aa45f,O12Sr4Tb4,20,97.3975,35.0542,1.95976,1.6612,6.05535,3.230869043672458e-28
ag-ca1726d414bf,Al12Mo4,16,133.974,96.931,1.9598,9.44121,4.78863,2.4535102091114297e-28
ag-901d512ca4eb,Al2O6Y2,10,168.251,83.0635,1.95989,9.92536,4.50072,1.209310609515969e-28
ag-7b42268ff036,Hf4O4S4,12,139.21,58.5289,1.95993,5.46788,8.11561,1.8542164145892816e-28
ag-b5b4139aae6f,Ca4Pb4Sr4,12,27.0474,17.6794,1.95995,1.20689,5.09471,4.366185414488415e-28
ag-6852d98ddee5,C1N2,3,392.672,302.58,1.95999,127.968,3.64169,1.8250202970462907e-29
ag-c3cc01a07e4f,C1Cr1,2,328.992,224.943,1.96002,92.2822,6.31255,1.683721981260392e-29
ag-e0a4ce0641d7,Dy4Ge4Mg2,10,74.1739,56.3577,1.96017,5.08064,7.32488,2.2424332255391515e-28
ag-125e84c1acf6,Au1C2K1,4,33.0677,16.6129,1.96023,4.92026,4.36329,9.898113816884427e-29
ag-c4a54ec70f0e,Os2Si2U1,5,172.71,99.258,1.96031,15.9746,13.0803,8.564781673385475e-29
ag-976743899711,Sb6Tb8,14,66.6389,31.9632,1.96035,1.8898,8.43458,3.9413194720779494e-28
ag-33d7c27fdace,C1Pb1Sc3,5,91.7167,70.4854,1.96039,12.1025,5.90289,9.960562972012482e-29
ag-bfe6fc7189a9,Al1P1,2,82.8556,46.3929,1.96056,19.362,2.30714,4.1712700903649727e-29
ag-f823c87fc855,Al4Gd4O12,20,181.021,109.83,1.96091,7.79564,7.22382,2.1353054387933587e-28
ag-8cb7e7a7a9a8,As8Sc12,20,84.9777,51.5402,1.96098,3.52077,4.37589,4.321622636000925e-28
ag-04ae1ba1cf82,B2Mg16Rh8,26,77.6333,29.0538,1.96104,1.44628,4.52763,4.524847284918343e-28
ag-b2dd96e1efe3,Hf12N4Zn12,28,128.011,76.3861,1.96104,3.49893,11.4104,4.340847388200822e-28
ag-80fb0ea681e0,Sn2V6,8,156.517,36.2693,1.96127,2.96193,7.10262,1.2696544238033223e-28
ag-77aa555431a1,S1Sn1,2,52.9278,30.9299,1.96141,8.0644,4.88622,5.123956305009087e-29
ag-5fc952e0c1ba,Bi1Er2O2,5,72.22,34.3529,1.96145,5.75289,9.57097,9.984730735953757e-29
ag-e3f21ea3e142,Ho3In1N1,5,90.3278,66.3803,1.96147,9.15715,9.41208,1.1002224438950189e-28
ag-0b6839bf7e7d,C2Sn2Ti4,8,129.381,80.6449,1.96155,12.4211,5.93847,1.2664436333438852e-28
ag-06ba1197c4dc,Gd2O8V2,12,120.603,47.016,1.96157,5.37694,5.29012,1.7087727085687812e-28
ag-26746da8e637,Mn4Si4Tb4,12,96.2782,59.6171,1.9616,5.22674,7.66252,2.0973026746720476e-28
ag-2758cc57bfa5,Al8Mo3,11,138.953,103.262,1.96181,12.8291,4.97511,1.681103624898784e-28
ag-5e820047206a,Al4Pb2S8,14,37.6664,20.6539,1.96182,2.89392,3.87557,3.33706904081819e-28
ag-8a10bf2f0a2f,Er6Ge8,14,78.0387,51.2507,1.96203,3.43789,8.67301,3.0340251940506103e-28
ag-61bdf403b2bb,Al2Th1,3,88.6477,60.6511,1.96205,14.1211,6.60682,7.188270021169437e-29
ag-91751653e073,C1Ta1,2,321.384,212.011,1.96221,64.3567,14.2602,2.2469198210800792e-29
ag-ca93f7ab4fd2,Si6V10,16,190.595,110.243,1.96241,10.0905,5.2877,2.128951960856336e-28
ag-9a0054fa8058,Cd2Er4Se8,14,53.6444,18.5394,1.96242,1.05954,6.28706,4.0292528567928896e-28
ag-e59f919d67ca,Al2P2,4,82.7112,45.9054,1.96248,12.0153,2.3071,8.342684821884306e-29
ag-28bd553cc68b,F4Si1,5,5.65556,5.68312,1.96251,23.3813,2.05758,8.399548635847357e-29
ag-35ac7e5d53e8,B2Mo2,4,304.254,190.262,1.96263,43.3023,8.40372,4.2187080459276753e-29
ag-a644448fe834,Ru4Si4Y4,12,137.623,48.2667,1.9627,3.80828,6.71057,2.1583823167959556e-28
ag-d64cf23933c2,Bi1Dy2O2,5,70.8258,34.6725,1.96273,6.01725,9.1897,1.0226999493813887e-28
ag-92d8c47bba9f,Ca1Pb1,2,33.7766,19.9291,1.96282,3.75318,6.74928,6.083830857672445e-29
ag-dfd12e82174b,Ga2Sc2,4,78.609,46.1333,1.96291,8.28117,4.5703,8.333317878090434e-29
ag-1ad28cdb1e2a,O10Ti6,16,164.44,63.4889,1.96294,5.9605,3.66531,2.025985328464042e-28
ag-f0ab0f028c86,Ge4Tb2,6,69.946,25.7214,1.96295,2.36111,7.61733,1.3263042770727442e-28
ag-3e014c23361a,Al8N4Nb12,24,195.856,115.382,1.96307,7.91366,6.48923,3.5485904550638683e-28
ag-7ff98abe794a,Dy6Ge8,14,79.4727,50.5958,1.96326,3.25765,8.33715,3.0993781475895144e-28
ag-bb4427e45297,As1B1,2,132.022,124.448,1.96331,47.6931,5.09322,2.7951341505215e-29
ag-772273a762f3,S12Sr4Zr4,20,69.2329,35.892,1.96348,2.7904,3.80273,4.804053975313497e-28
ag-3133a8e5480f,K2Li2Se2,6,24.1404,15.3426,1.96352,1.76175,2.76088,1.5036236341141477e-28
ag-cf764a1116e3,N4Os8Zr16,28,192.639,84.8749,1.9636,3.89807,10.4434,4.829658651660784e-28
ag-6d83e0c07333,Er4Ge4Mg2,10,75.9031,58.469,1.96362,5.16782,7.64453,2.190017502947231e-28
ag-18b0caef6bb1,Cd2Sc4Se8,14,57.2,19.9636,1.96371,1.30609,4.60952,3.7332720635197596e-28
ag-866a54484830,Sr1Te1,2,36.0167,13.1179,1.96372,2.38108,5.24448,6.814426175972678e-29
ag-7506d5bf08d2,Fe4Si4Zr4,12,165.084,103.058,1.96381,11.0464,6.50366,1.7888443734192112e-28
ag-0d7f47c41fcc,Ni4P4S4,12,88.1286,53.5683,1.96403,5.28631,4.52743,1.7859227920712629e-28
ag-f1287d45c31c,Gd4O14Zr4,22,176.817,68.4787,1.96407,3.66031,6.88743,2.936291096283685e-28
ag-f02b07cfc673,Sb2Y2Zr2,6,79.9434,38.6074,1.9641,4.92184,6.5672,1.526677700496449e-28
ag-1ca6226f7b5f,Dy4Si4,8,91.5451,67.1684,1.96414,7.70706,7.31848,1.7297289506973811e-28
ag-e41b0eb2d602,Dy8Sb6,14,67.4778,32.118,1.96417,1.84676,8.67315,3.8876581254507255e-28
ag-150317ed11b1,Au1C2Rb1,4,30.2743,14.7529,1.96421,4.06764,4.63089,1.0988854768941718e-28
ag-31070beda6c7,Ga1Mn1,2,61.452,31.433,1.96445,6.29807,6.06022,3.4157924185207894e-29
ag-5f8eb52fe2e5,Cd2Se8Y4,14,52.0056,18.1422,1.9645,1.17313,4.88875,4.117170197531376e-28
ag-9bc61e0c2e19,S8Th4,12,90.9109,29.2936,1.96471,2.2684,6.79453,2.895262123556053e-28
ag-5ffe41ffabba,Ba6Cr2N6,14,33.1987,19.6664,1.96481,3.24918,5.01916,3.348082620160399e-28
